1254,ランダム番号,年号補助,和暦,人物２,人物３,人物,抽出ワード,歴史カード,Timestamp,項目,メモ,本
,294,1781,,,「純粋理性批判」,,カント,思想,,,,
,988,1781,～1789,,元号：天明,,,日本　元号,,,,
,1071,1781,,,いづう,京都祇園　鯖寿司,,日本　文化　食,,,,
,1288,1782,,,ハイドン・セット,,モーツアルト,ヨーロッパ　文化,,,,
,825,1783,～1788,,天明の飢饉,,,日本,,,,
,965,1783,,,浅間山の噴火,,,日本,,,,
,1345,1783,,,バージニア西部に一帯をバーボン地方と改称する,ルイ16世がイギリスの宣戦布告,,アメリカ　文化　食　飲料,,,,
,630,1784,,,リチャード・トワイニングの茶税引き下げ直訴,4代目,,文化　食　イギリス,,,,
,1511,1784,,,「美南見十二候」,,鳥居清長,日本　文化　美術,,,,
,295,1785,,,ワットの蒸気機関,,,ヨーロッパ,,,,
,296,1785,,,カートライトの力織機,,,ヨーロッパ,,,,
,1229,1785,,,山口鉄五郎らを千島・樺太へ,,,日本,,,,
,297,1786,,,「フィガロの結婚」,,モーツアルト,文化　音楽,,,,
,591,1786,2月2日,,ジョーンズの講演,アジア協会,,言語,,,,
,1275,1786,,,田沼意次が老中辞任,,,日本,,,,
,1508,1786,,,雪松図屏風（国宝）,,円山応挙,日本　文化　美術,,,,
,826,1787,～1793,,寛政の改革（松平定信の老中在任期間）,,松平定信,日本,中学,,,
,985,1787,,,円山応挙が大乗寺に襖絵を描く,,円山応挙55歳,日本　文化　美術,,,,
,1005,1787,～1737,,将軍：徳川家斉　11代,,,日本　将軍,,,,
,1644,1787,,,チューリッヒ芸術協会,,,ヨーロッパ　文化,,,,
,299,1788,,,モーツアルト　39番、40番、41番を書く,,モーツアルト,文化　音楽,,,,
,582,1788,,,オーストラリアで天然痘が大流行,原住民人口の減少,,ヨーロッパ,,,,
,1641,1788,,,京都　天明の大火,蛤御門,,日本,,,,
,300,1789,,,ゴヤがスペインの宮廷画家になる,,ゴヤ,文化　美術,,,,
,301,1789,,,ラボアジエの元素表,33種類,ラボアジエ,科学,,,,
,302,1789,,,フランス人権宣言,,,フランス,中学,,,
,701,1789,,,万川集海などを幕府に献上,,,日本　忍者,,,,
,989,1789,～1801,,元号：寛政,,,日本　元号,,,,
,1070,1789,,,「富岳図」,,司馬江漢,日本　文化　美術,,,,
,1346,1789,,,バーボンが造られる,ケンタッキー州バーボン地方,,アメリカ　文化　食　飲料,,,,
,1868,1789,,,インド・ヨーロッパ語族の発見,,ウィリアム・ジョーンズ,イギリス　インド,,,,
,303,1790,,,「判断力批判」,,カント,文化　哲学,,,,
,304,1790,～1840頃,,第二次グレイト・アウェイクニング,,,アメリカ　宗教　キリスト教,,,,
,1015,1790,年代,,「インコと鳩に木蓮」,,司馬江漢,日本　文化　美術,,,,
,1142,1790,ごろ,,「白梅図屏風」,,呉春,日本　文化　美術,,,,
,1274,1790,,,出版取締令,,,日本,,,,
,1834,1790,,,佃の人足寄場,,長谷川平蔵,日本,,,,
,305,1791,,,「驚愕」,,ハイドン,文化　音楽,,,,
,306,1791,,,モーツアルトの死,,モールアルト,文化　音楽,,,,
,1481,1791,,,天王星発見,,,科学,,,,
,1711,1791,,,フランス国民議会がユダヤ教徒に市民権,,,宗教,,,,
,1201,1792,,,「美術教育についての報告書」,,,ヨーロッパ　文化　美術,,,,
,1122,1793,,,「公余探勝図」,松平定信に同行して相模から伊豆を巡視,谷文晁,日本　文化　美術,,,,
,1374,1793,,,清の皇帝がイギリスのジョージ3世へメッセージ,「異国の生産品を輸入する必要はない」,,中国　ヨーロッパ,,,,
,979,1794,～1795年1月,,東洲斎写楽が活躍,,,日本　文化　美術,,,,
,307,1795,,,イギリスがケープタウンを占領,,,南アフリカ　イギリス,,,,
,1009,1795,,,「保津川図屏風」,,円山応挙,日本　文化　美術,,,,
,1069,1796,,,中津藩に進脩館,,,日本　文化,,,,
,972,1798,,,くじら塚,,,日本　文化,,,,
,1258,1798,,,「悲愴」,ピアノソナタ第8番,ベートーヴェン,文化　音楽,,,,
,1903,1798,,寛政10,とおし咄を聞かせる会　山生亭花楽,下谷神社,櫛職人又五郎,文化　日本,,,,
,308,1799,,,定比例の法則,化合物の中で元素の質量比が一定,ジョセフ･プルースト,科学,,,,
,1073,1799,,,露米会社,,,ロシア,,,,
,309,1801,,,ガウス整数論,,ガウス,科学　数学,,,,
,310,1801,,,タレイランがブリオンを所有,,タレイラン,フランス　ワイン,,,,
,1027,1801,,,南湖公園築造,,松平定信,日本,,,,
,1127,1801,,,イギリスがアイルランド併合,,,イギリス,,,,
,1259,1801,,,「月光」,ピアノソナタ第14番,ベートーヴェン,文化　音楽,,,,
,1485,1801,,,駒形どぜう,,,日本　文化　食,,,,
,1920,1801,,,イギリス初の国勢調査,,,ヨーロッパ　イギリス,,,,
,1232,1802,,,「東海道中膝栗毛」,,,日本,,,,
,1261,1802,,,「テンペスト」,ピアノソナタ第17番,ベートーヴェン,文化　音楽,,,,
,311,1803,,,ドルトンの原子記号,,ドルトン,科学,,,,
,728,1803,,享和3,鶴屋吉信創業,京都市上京区,鶴屋伊兵衛,日本　文化　食　菓子,,,,
,946,1803,,享和3,亀屋良長創業,京都,,日本　文化　食　菓子,,,,
,1061,1803,,,会津藩日新館,,,日本　文化,,,,
,1250,1803,,享和3,延命院事件で日道が死罪,,日潤,日本　女,,,,
,1401,1803,,享和3,亀屋良長,,,日本　文化　食　菓子,,,,
,1564,1803,,,マーベリー対マディソン事件,,,アメリカ,,,,
,978,1804,,,喜多川歌麿の手鎖50日の処分,「太閤五妻洛東遊観之図」,徳川家斉,日本　文化　美術,,,,
,992,1804,～1829,,文化・文政期,,,日本　文化,,,,
,1260,1804,～1806,,「熱情」,ピアノソナタ第23番,ベートーヴェン,文化　音楽,,,,
,1280,1804,～1818,,元号：文化,,,日本,,,,
,1881,1804,,,アヘンからモルニネの分離,,ゼルチュルナー,科学,,,,
,724,1805,,,井筒八ツ橋本舗創業,,津田佐兵衛,文化　食　日本　菓子,,,,
,731,1805,,文化2,船橋屋創業,亀戸,,文化　食　日本　菓子,,,,
,1067,1805,,,庄内藩に致道館,,,日本　文化,,,,
,1323,1805,,,蘭学が認められる,,,日本,,,,
,312,1806,,,「ラズモフスキー第3番」,弦楽四重奏曲第9番,ベートーベン,文化　音楽,,,,
,313,1806,,,神聖ローマ帝国滅亡,,フランツ2世,ドイツ,,,,
,583,1806,,,フィジー諸島で疫病が大流行,,,ポリネシア,,,,
,1072,1806,,,露寇事件,,,日本　ロシア,,,,
,1307,1806,,,ベートーヴェン「ヴァイオリン協奏曲ニ長調」作品61,,ベートーヴェン,文化　音楽,,,,
,1332,1806,,,ロンドンにエルギン・マーブルズが到着,,,イギリス,,,,
,314,1807,,,フルトンの蒸気船,,,ヨーロッパ,,,,
,315,1807,,,「精神現象学」,,ヘーゲル,思想,,,,
,673,1807,,,奴隷貿易法,奴隷貿易の禁止,,イギリス,,,,
,1533,1807,文化4年,,永代橋崩落事故,,,日本,,,,
,576,1808,,,フィジー島にサベージ上陸,,チャーリー・サベージ,ポリネシア,,,,
,968,1810,,,樋口屋,日本橋「弁松」1850,,日本　文化　,,,,
,1262,1810,,,「告別」,ピアノソナタ第26番,ベートーヴェン,文化　音楽,,,,
,1350,1810,～1811,,弘前城　御三階櫓,,,日本,,,,
,1074,1811,,,ゴローニン事件,1813年に解決,1812年に高田屋嘉兵衛が連行,日本　ロシア,,,,
,316,1812,,,グリム童話初版,,グリム,文化,,,,
,714,1812,,,屋号・風月堂誕生,,松平定信,文化　食　日本,,,,
,1296,1812,,,葛飾北斎が関西へ,,,日本　文化　美術　絵画,,,,
,1574,1812,,,メルローズ創業,食品卸売業,スコットのエディンバラ,イギリス　文化　食　ヨーロッパ,,,,
,317,1814,,,「1808年5月3日」,,ゴヤ,ヨーロッパ　文化　美術　絵画,,,,
,981,1814,,,「北斎漫画」,,,日本　文化　美術,,,,
,1309,1815,,,シューベルト「野ばら」,,,ヨーロッパ　文化　音楽,,,,
,1333,1815,,,パンタルーンを宮廷に許可,,皇太子時代のジョージ4世,イギリス,,,,
,1589,1815,,,ネーデルラント連合王国,,,ヨーロッパ,,,,
,1963,1817,,,「動物界」,三分類法,キュヴィエ,,,,,
,1017,1818,,,「四季花鳥図巻」,,酒井抱一,日本　文化　美術,,,,
,1279,1818,～1830,,元号：文政,,,日本,,,,
,318,1819,,,「メデュース号の筏」（18～）,,ジェリコー,ヨーロッパ　文化　美術　絵画,,,,
,818,1819,,文政2,羽二重団子創業,根岸　芋坂,,日本　文化　菓子,,,,
見えない世界戦争,1895,1821,,,マンチェスター・ガーディアン紙,,,イギリス,,,,
,319,1822,,,「『希望号』の難破」,,フリードリヒ,文化　美術,,,,
,1272,1822,,,「希望号の難波」,,フリードリヒ,ヨーロッパ　文化　美術　絵画,,,,
,634,1823,,,ロバート・ブルースがアッサム茶の話を聞く,,弟がチャールズ・アレキサンダー・ブルース,文化　食　イギリス　インド,,,,
,320,1824,,,「キオス島の虐殺」,,ドラクロワ,文化　美術,,,,
,321,1824,,,「交響曲第9番（合唱つき）」,,ベートーベン,文化　音楽,,,,
,970,1824,,,「江戸買物独案内」,,,日本　文化,,,,
,1077,1824,,,イギリス捕鯨船員が常陸大津浜に上陸,,,日本　イギリス,,,,
,1203,1824,,,「干草馬車」,,コンスタブル,ヨーロッパ　文化　美術　絵画,,,,
,1204,1824,,,アングルとドラクロアがサロンで会う,,,ヨーロッパ　文化　美術　絵画,,,,
,827,1825,,,異国船打払令,,,日本,中学,,,
,1911,1825,,,伊勢半,紅問屋,,日本　文化,,,,
,323,1826,,,オームの法則,,,科学,,,,
,324,1827,,,ブラウン運動の発見,1905年にアインシュタインが説明,ロバート・ブラウン,科学,,,,
,325,1827,,,ベートーヴェンの死,,ベートーヴェン,文化　音楽,,,,
,326,1829,,,ザ・ボートレースの開始,,,イギリス,,,,
,1359,1829,,文政12,仙台：お茶の「よろづ園」,,,文化　食　飲料　仙台,,,,
,327,1830,,,「幻想交響曲」,ロマン派の交響曲への扉を開けた,ベルリオーズ,文化　音楽,,,,
,328,1830,,,「民衆を導く自由の女神」,,ドラクロワ,文化　美術,,,,
,987,1830,～1844,,元号：天保,,,日本　元号,,,,
,1018,1830,年代初,,「富嶽三十六景」,,葛飾北斎,日本　文化　美術,,,,
,1150,1830,年代半ば,,「夏秋渓流図屏風」,,鈴木其一,日本　文化　美術,,,,
,1235,1830,,,近世三大巡礼運動,おかげ参り,,日本,,,,
,1623,1830,,,お蔭参り,,,日本　文化　宗教,,,,
,832,1831,,,防長大一揆,,,日本,,,,
,980,1831,頃から,,「富嶽三十六景」,,葛飾北斎72歳,日本　文化　美術,,,,
,1273,1831,,,「東都名所」,,,日本　文化　美術,,,,
,1530,1831,,,ベルギー憲法,,,ヨーロッパ,,,,
,948,1832,,,天保大地震,,,日本,,,,
,1244,1832,,,鼠小僧が処刑される,,,日本,,,,
,1357,1832,,,高山たつの富士登山,,,日本,,,,
,1653,1832,,,ネッカーキューブ,,,,,,,
,329,1833,,,「イタリア」,,メンデルスゾーン,文化　音楽,,,,
,674,1833,,,奴隷制廃止法,大英帝国内での奴隷制を違法とした,,イギリス,,,,
,828,1833,～38,,天保の大飢饉,,,日本,,,,
,983,1833,頃から,,「東海道五十三次」刊行,,歌川広重37歳,日本　文化　美術,,,,
,635,1834,2月,,茶業委員会（tea committee）,,,文化　食　イギリス　インド,,,,
,330,1835,,,アンデルセン「童話集」,,アンデルセン,文化　文学,,,,
,578,1835,,,マオリ族がモリオリ族を征服,チャタム諸島,,ポリネシア,,,,
,1313,1835,,,玉露,,山本嘉兵衛,日本　文化　食,,,,
,1585,1835,,,玉露の製法,,山本嘉兵衛　6代,日本　文化　食,,,,
,549,1836,,,ベテルギウスの変光の発見,,ジョン・ハーシェル,科学　天文,,,,
,993,1836,,天保7年,仙加苑創業,足軽まんじゅう,,日本　文化　食,,,,
,1576,1836,,,リッジウェイ創業,ロンドン,,イギリス　文化　食　ヨーロッパ,,,,
,625,1837,,,トワイニングが王室御用達となる,,,分化　食　イギリス,,,,
,829,1837,,,大塩平八郎の乱,,,日本,,,,
,1046,1837,～1853,,将軍：徳川家慶　12代,,,日本,,,,
,1059,1837,,,「鷹見泉石像」,,渡辺崋山,日本　文化　美術,,,,
,1567,1837,,,ヴィクトリア女王即位,,,イギリス,,,,
,1568,1837,,,トワイニングが王室御用達,,,イギリス　文化　食,,,,
,1575,1837,,,メルローズが王室御用達,,,イギリス　文化　食　ヨーロッパ,,,,
,1869,1837,,,アショーカ王碑文解読,,ジェームズ・プリンセプ,イギリス　インド,,,,
,1334,1838,,,人民憲章,チャーティスト運動が始まる,,イギリス,,,,
,1932,1838,,,ブラッドリヴァーの戦いでボーア人勝利,ズールー人,,ヨーロッパ,,,,
,331,1839,,,「色彩調和と色彩対比の原理」,,シュブルール,文化　美術,,,,
,332,1840,,,「詩人の恋」,歌の年,シューマン,文化　音楽,,,,
,333,1840,,,ジュールの法則,,,科学,,,,
,334,1840,,,アヘン戦争が始まる,,,中国　アジア,中学,,,
,1124,1840,,,郵便切手の発行,,,イギリス,,,,
,1314,1840,,,歌曲の年,,シューマン,文化　音楽,,,,
,1581,1840,,,ビューリーズ設立,,,アイルランド　文化　食　ヨーロッパ,,,,
,643,1841,,,ダージリン地方に茶樹が植えられる,,カンベル博士,文化　食　イギリス　インド,,,,
,750,1841,,,智泉院事件・感応寺事件,,日啓と日尚,日本　女,,,,
,830,1841,～43,,天保の改革,家斉が死去,水野忠邦が老中首座,日本,,,,
,1062,1841,,,水戸藩に弘道館が仮開館,,,日本　文化,,,,
,1162,1841,,,吉野すし,,,日本　文化　食,,,,
,337,1842,,,「吹雪－港の沖の蒸気船」,,ターナー,文化　美術,,,,
,1007,1842,,,歌舞伎芝居小屋が猿若町へ移転,,,日本　文化,,,,
,336,1843,1月,,「さまよえるオランダ人」初演,,ワーグナー,文化　音楽　ドイツ,,,,
,553,1844,,,暗黒伴星の予言,シリウス,フリードリッヒ・ベッセル,科学　天文,,,,
,555,1844,,,「かに星雲」名づけられる,,ロス卿,科学　宇宙　天文,,,,
,1268,1844,,,天保歴,狭義の旧暦,渋川景佑ら,日本,,,,
,1305,1844,,,メンデルスゾーン「ヴァイオリン協奏曲ホ短調」作品64,,メンデルスゾーン,文化　音楽,,,,
,338,1845,,,「タンホイザー」,,ワーグナー,文化　音楽　ドイツ,,,,
,679,1845,～49,,アイルランドのジャガイモ大飢饉,,,イギリス　アメリカ,,,,
,1856,1845,～1849,,シーク戦争,,,イスラム,,,,
,1302,1846,,,天野屋,甘酒　神田明神,,日本　文化　食,,,,
,1335,1846,,,モーゼズ社がロンドンの一等地に新装オープン,,,イギリス,,,,
,1340,1846,,,ロック・ステッチ・ミシン,エリアス・ハウ,,アメリカ,,,,
,1554,1846,,,イギリス穀物法廃止,,,イギリス　ヨーロッパ,,,,
,1614,1847,,,カルティエ創業,フランス,,文化　ヨーロッパ,,,,
,339,1848,,,「チェコ国民軍行進曲」,,スメタナ,文化　チェコ,,,,
,340,1848,,,「ローエングリン」,,ワーグナー,文化　音楽　ドイツ,,,,
,341,1848,,,フランツ･ヨーゼフ即位（～1916）,,,ハプルブルク　皇帝,,,,
,342,1848,,,農民解放令,,,ハプスブルク,,,,
,847,1848,,嘉永元年,会津若松の長門屋創業,,,日本　文化　食,,,,
,1276,1848,～1854,,元号：嘉永,,,日本,,,,
,1341,1848,,,「イギリス史」,ホイッグ史観,マコーリ,イギリス,,,,
,343,1849,,,「オルナンの埋葬」,,クールベ,文化　美術,,,,
,1200,1849,,嘉永2,諸江屋が創業,落雁,,金沢　文化　食　菓子　日本,,,,
,1578,1849,,,ハロッズ創業,,,イギリス　文化　食　ヨーロッパ,,,,
,1604,1849,8月,,国際平和会議,パリ　ヴィクトル・ユゴー,,経済　政治　ヨーロッパ,,,,
,969,1850,,,弁松総本店,日本橋,,日本　文化　食,,,,
,1528,1850,,,「朝、ニンフの踊り」,,コロー,文化　美術,,,,
,1699,1850,,,「音楽におけるユダヤ主義」,,ワーグナー,ドイツ　文化　音楽,,,,
,344,1851,,,フランス第二帝政,,ルイ･ナポレオン,フランス,,,,
,346,1851,,,ロンドン万国博覧会,,,イギリス,,,,
,1165,1851,,,ニューヨークタイムズ創刊,,,アメリカ,,,,
,1303,1851,,,国定忠治の死,,,日本,,,,
,1952,1851,,,第１回万国博覧会,ロンドン,,ヨーロッパ　イギリス,,,,
,645,1852,,,ジェームズ・テイラーがセイロン島へ,紅茶の神様,,文化　食　イギリス　インド,,,,
,1541,1852,,,佐賀藩の精煉方,,,日本,,,,
,347,1853,,,ロンドン･ロスチャイルド家がブラーヌ･ムートン買収,,ナサニエル,フランス　ワイン,,,,
,644,1853,,,ニルギリに初の茶園,,,文化　食　イギリス　インド,,,,
,1047,1853,～1858,,将軍：徳川家定　13代,,,日本,,,,
,1990,1853,～56,,クリミア戦争,,,ロシア　トルコ　ヨーロッパ,,,,
,348,1854,,,日米和親条約,,,日本　アメリカ,中学,,,
,998,1854,～1859,,元号：安政,,,日本　元号,,,,
,1361,1854,,安政1,梅園創業,浅草,,日本　文化　食,,,,
,1535,1854,,,淀橋の水車事故,,,日本,,,,
,1579,1854,,,マリアージュフレール開店,パリ,,フランス　文化　食　ヨーロッパ,,,,
,1582,1854,,,エディアール開店,,,フランス　文化　食　ヨーロッパ,,,,
,349,1855,,,「画家のアトリエ」,,クールベ,文化　美術,,,,
,350,1855,,,パリ万国博覧会,,,フランス,,,,
,351,1855,,,メドック・ワインの第１回格付け,ムートン第２級に,,フランス　ワイン,,,,
,692,1855,,,日露通好条約,,,日本　ロシア　安全保障　国境,,,,
,949,1855,,,安政大地震,新吉原炎上,,日本,,,,
,1194,1855,,,仙台・お茶の「菅原園」,,,仙台,,,,
,1205,1855,,,パリ万博でアングルとドラクロアの特別回顧展,,,ヨーロッパ　文化　美術　絵画,,,,
,1206,1855,,,パリ万博の隣でクールベの個展,,,ヨーロッパ　文化　美術　絵画,,,,
,1245,1855,,,江戸語金蔵破り,,,日本,,,,
,1461,1855,,,御金蔵破り,,,日本,,,,
,1929,1855,,,アームストロング砲,イギリス,,ヨーロッパ　イギリス,,,,
,352,1856,,,「泉」,,アングル,文化　美術,,,,
,353,1856,,,雑誌「レアリズム」創刊,,エドモン･デュランティ,文化,,,,
,984,1856,,,「名所江戸百景」刊行開始,,歌川広重60歳,日本　文化　美術,,,,
,354,1857,,,「悪の華」「ボヴァリー夫人」が告発される,,,文化　フランス,,,,
,355,1857,,,「晩鐘」（～59）、「落穂拾い」,,ミレー,文化　美術,,,,
,356,1857,,,ウィーン　城壁を取り壊しリングを作成,,フランツ･ヨーゼフ1世,ハプスブルク,,,,
,732,1857,,安政4,榮太樓總本鋪　創業,日本橋・この時は井筒屋,,文化　食　日本,,,,
,1048,1858,～1866,,将軍：徳川家茂　14代,,,日本,,,,
,1243,1858,,,日本でコレラ流行,,,日本,,,,
,1512,1858,4月,,廷臣八十八卿列参事件,,岩倉具視,日本,,,,
,357,1859,,,「トリスタンとイゾルデ」,,ワーグナー,文化　音楽　ドイツ,,,,
,358,1859,,,アメリカで石油発見,エリー湖のほとり,,アメリカ　エネルギー,,,,
,359,1859,,,石油の掘削に成功,,カーネル･ドレイク,エネルギー,,,,
見えない世界戦争,1896,1859,,,ガーディアン紙,,,イギリス,,,,
,1428,1860,3月,,桜田門外の変,,,日本,,,,
,1863,1860,,,東学党,,,,,,,
,360,1861,,,農奴解放令,,アレクサンドル2世,ロシア　,,,,
,361,1861,,,アメリカ南北戦争が始まる,,,アメリカ,中学,,,
,997,1861,～1863,,元号：文久,,,日本　元号,,,,
,1406,1861,,文久元年,清寿軒創業,東京都中央区　どらやき,澤村清造,日本　文化　食　菓子,,,,
,1989,1861,,,ロシア　農奴解放令,,,ロシア,,,,
,834,1862,,,松平春嶽が政事総裁職に,,,日本,,,,
,835,1862,正月,,老中安藤信正が襲撃される,公武合体派　4月に辞任,,日本,,,,
,836,1862,12月,,長州藩士がイギリス公使館焼き討ち,,,日本　長州,,,,
,1429,1862,8月,,生麦事件,,,日本,,,,
,1430,1862,閏8月,,松平容保が京都守護職に,,,日本,,,,
,1431,1862,4月,,寺田屋事件,,,日本,,,,
,362,1863,,,「草上の昼食」「オランピア」,,マネ,文化　美術,,,,
,363,1863,,,FA設立,イングランドサッカー協会,,イギリス　スポーツ,,,,
,365,1863,,,落選展,,ナポレオン３世,文化　美術,,,,
,730,1863,,,鶴屋八幡創業,大阪市　高麗橋,今中伊八,文化　食　日本　菓子,,,,
,833,1863,6月7日,,奇兵隊結成の要綱,五カ条,,日本　長州,,,,
,837,1863,8月18日,,八月十八日の政変,七卿落ち,,日本,,,,
,838,1864,7月,,蛤御門の戦い（禁門の変）,,,日本　長州,,,,
,839,1864,12月15日,,功山寺の決起,,,日本　長州,,,,
,1163,1864,,,丸萬本家,大阪　魚すき,,日本　文化　食,,,,
,1251,1864,,,勝海舟と西郷隆盛が始めて会う,大阪,,日本,,,,
,1432,1864,6月,,池田屋事件,,,日本,,,,
,1433,1864,7月,,禁門の変,,,日本,,,,
,1435,1864,11月,,第一次長州征伐,,,日本,,,,
,840,1865,正月,,絵堂の戦い,,,日本　長州,,,,
,1278,1865,～1868,,元号：慶応,,,日本,,,,
,1542,1865,,,佐賀藩が凌風丸就役,,,日本,,,,
,1737,1865,,,バーマストン死去,ビスマルクが外交界の主役へ,,,,,,
,366,1866,,,ケーニッヒグレーツの戦い,,,ドイツ,,,,
,1437,1866,1月,,薩長同盟,,,日本,,,,
,1438,1866,7月,,徳川家茂死去,,,日本,,,,
,1439,1866,12月,,慶喜が将軍に,,,日本,,,,
,1440,1866,12月,,孝明天皇が崩御,,,日本,,,,
,367,1867,,,大政奉還,,,日本,中学,,,
,368,1867,,,「ニュルンベルクのマイスタージンガー」,,ワーグナー,文化　音楽　ドイツ,,,,
,369,1867,,,ウィーンのユダヤ人に市民権,,,ハプスブルク,,,,
,370,1867,,,ハンガリー･オーストリア二重帝国,,,ハプスブルク　中欧,,,,
,719,1867,,,キンバリーでダイヤモンド鉱床発見,,,,,,,
,1049,1867,～1868,,将軍：徳川慶喜　15代,,,日本,,,,
,1253,1867,5月,,四侯会議,,,日本,,,,
,1441,1867,10月,,大政奉還,,,日本,,,,
,1442,1867,11月,,坂本龍馬暗殺,,,日本,,,,
,1443,1867,12月,,王政復古の大号令,,,日本,,,,
,1691,1867,,,ダイナマイト開発,,,,,,,
,371,1868,,,パリ･ロスチャイルド家がラフィット買収,,,フランス　ワイン,,,,
,1210,1868,～1870頃,,「真珠の女」,,コロー,ヨーロッパ　文化　美術　絵画,,,,
,1277,1868,～1912,,元号：明治,,,日本,,,,
,1444,1868,4月,,江戸城無血開城,,,日本,,,,
,1445,1868,5月,,奥羽越列藩同盟,,,日本,,,,
,1446,1868,9月,,会津藩降伏,,,日本,,,,
,1447,1868,5月,,函館戦争終結,,,日本,,,,
,372,1869,,,メンデレーエフの周期表,,メンデレーエフ,科学,,,,
,1572,1869,,,ブルックボンド創業,マンチェスター,,イギリス　文化　食　ヨーロッパ,,,,
,1661,1869,,,靖国神社創建,東京招魂社,,日本,,,,
,373,1870,,,スタンダード･オイル設立,,ロックフェラー１世,アメリカ　エネルギー,,,,
,1138,1870,,,イギリスの初等教育法,,,ヨーロッパ　イギリス,,,,
,374,1871,,,ＦＡカップ始まる,,,イギリス　サッカー　スポーツ,,,,
,375,1871,,,賎民廃止令,,,日本,,,,
,376,1871,,,日清修好条規,,,日本　中国,中学,,,
,720,1871,,,ラグビーフットボールユニオン,,,スポーツ,,,,
,868,1871,,,アニミズム,,E・タイラー,イギリス　宗教,,,,
,1339,1871,,,洋服大評定,,,日本,,,,
,1455,1871,,,身分解放令,,,日本,,,,
,377,1872,,,イングランド対スコットランド,サッカー最古の国際試合,,イギリス　サッカー　スポーツ,,,,
,951,1872,,,京都博覧会,,新島襄,日本,,,,
,1358,1872,,,富士登山の女人禁制解かれる,,,日本,,,,
,378,1873,,,「オフィスでの肖像」,,ドガ,文化　美術,,,,
,379,1873,,,「印象、日の出」,,モネ,文化　美術,,,,
,380,1873,,,大不況,,,,,,,
,904,1873,,,火葬禁止の法律,,,日本　宗教,,,,
,1502,1873,,,上野恩賜公園,,,日本,,,,
,1555,1873,～約20年間,,ヨーロッパ大不況,,,ヨーロッパ,,,,
,1602,1873,～1896,,英国大不況,,,経済　政治　ヨーロッパ,,,,
,381,1874,,,民撰議院設立の建白書,,,日本,中学,,,
,382,1874,1848～,,「ニーベルングの指環」,,ワーグナー,文化　音楽　ドイツ,,,,
,383,1874,,,「ロマンティック」,,ブルックナー,文化　音楽,,,,
,384,1874,,,「展覧会の絵」,,ムソルグスキー,文化　音楽　ロシア,,,,
,385,1874,4月15日,,第1回印象派展,,,文化　美術,,,,
,1546,1874,,,パンテオン装飾計画,,シャヴァンヌ,フランス,,,,
,1882,1874,,,モルヒネからヘロインの合,,アルダー・ライト,科学,,,,
,386,1875,,,アルアラハーム紙創刊,,,アラブ,,,,
,387,1875,,,江華島事件,,,日本　韓国　朝鮮,中学,,,
,1185,1875,2月,,大阪会議,殖産興業派、憲法派、議会派,,日本,,,,
,1353,1875,,,青森に西洋リンゴが紹介される,,,日本,,,,
,1383,1875,,,アンデルセンの国葬,,,ヨーロッパ　文化,,,,
,1449,1875,,,身延山久遠寺の火災,,,日本　文化　宗教,,,,
,1832,1875,,,桜岡公園碑銘,,中林梧竹,文化　書　日本,,,,
,388,1876,,,「ムーラン･ド･ラ･ギャレット」,,ルノアール,文化　美術,,,,
,389,1876,,,日朝修好条規,,,日本　韓国　朝鮮,中学,,,
,579,1876,,,リトルビッグホーンの戦い,スー族,カスター将軍,北アメリカ　インディオ,,,,
,646,1876,,,キーマン市に紅茶工場,祁門,,文化　食　中国,,,,
,1414,1876,,,クラークが札幌へ,,,日本,,,,
,1706,1876,,,ワーグナーの祝祭劇場,バイエルン州バイロイト,,ドイツ,,,,
,1912,1876,,,連続写真,,マイブリッジ,文化　科学,,,,
,1921,1876,,,フランス初の国勢調査,,,ヨーロッパ　フランス,,,,
,390,1877,,,西南戦争,,,日本,中学,,,
,736,1877,,明治10,紅花堂（後の本高砂屋）創業,神戸市,杉田太吉,文化　食　日本,,,,
,1197,1877,,,仙台：村上屋餅店,教楽院丁,,仙台　文化　食　菓子,,,,
,1366,1877,,,三原堂本店　創業,人形町,,日本　文化　食　菓子,,,,
,1372,1877,,,本高砂屋,神戸,,日本　文化　食　菓子,,,,
,391,1878,,,民兵法,,,アメリカ,,,,
,1306,1878,,,ブラームス「ヴァイオリン協奏曲ニ長調」作品77,,ブラームス,文化　音楽,,,,
,1522,1878,,,パリ万国博,ティファニーのティーポットが金賞,,ヨーロッパ,,,,
,1948,1878,,,ベルリン条約,ルーマニア等の独立承認,,ヨーロッパ,,,,
,392,1879,,,「近代色彩学」,,ルード,文化　美術,,,,
,1933,1879,,,イサンドゥルワナの戦い,ズールー人,,ヨーロッパ,,,,
,393,1880,,,国会期成同盟,,,日本,中学,,,
,1833,1880,,,楊守敬が来日,日本の書の近代,,文化　書　日本,,,,
,1958,1880,,,イギリスでグリニッジ標準時法制化,,,,,,,
,394,1881,,,自由党,,板垣退助,日本,中学,,,
,395,1881,,,開拓使官有物払い下げ事件,,,日本,中学,,,
,396,1881,,,「14歳の小さな踊り子」,,ドガ,文化　美術,,,,
,1415,1881,,,札幌でホルスタインを導入,,,日本,,,,
,1176,1882,,,時事新報,,福沢諭吉,日本,,,,
,1177,1882,,,東京専門学校（早稲田大学の前身）,,大隈重信,日本,,,,
,702,1883,,,インドネシアのクラカタウ山の噴火,,,科学,,,,
